"Município"	"População"	"IDHM...Educação"	"Escolaridade.Adulta"	"Frenquencia.Escolar"	"Alfabetização"	"Renda.per.Capita"	"Despesa.Educação"	"Matrículas"	"Docentes"	"IPDM...Educação"	"PIB"	"IDEB_Médio"	"Grau.Urbanização"
"20"	"Arapoti"	"26.007"	"0,643"	"0,51"	"0,72"	"92,32"	"684,80"	"8.825.589,48"	"7.263"	"351"	"0,6066"	"596.608,697"	4.45	"84,23"
"21"	"Arapuã"	"3.515"	"0,584"	"0,34"	"0,75"	"83,41"	"424,27"	"1.595.912,97"	"989"	"65"	"0,6626"	"38.931,976"	4	"37,46"
"22"	"Araruna"	"13.445"	"0,648"	"0,44"	"0,78"	"90,16"	"566,78"	"4.312.161,31"	"3.366"	"146"	"0,5508"	"238.326,164"	4.7	"78,06"
"23"	"Araucária"	"121.032"	"0,639"	"0,56"	"0,67"	"96,43"	"814,39"	"115.735.295,26"	"34.658"	"1.454"	"0,5561"	"8.993.871,707"	4.45	"92,51"
"24"	"Ariranha do Ivaí"	"2.420"	"0,594"	"0,37"	"0,75"	"84,86"	"420,24"	"1.371.593,45"	"535"	"36"	"0,6759"	"36.564,412"	4.45	"36,85"
"25"	"Assaí"	"16.225"	"0,641"	"0,52"	"0,71"	"90,00"	"723,56"	"6.326.500,29"	"4.093"	"214"	"0,5876"	"264.775,789"	5	"83,08"
"26"	"Assis Chateaubriand"	"33.003"	"0,633"	"0,46"	"0,73"	"91,86"	"676,10"	"11.664.340,08"	"8.563"	"489"	"0,7747"	"556.879,716"	5.2	"87,85"
"27"	"Astorga"	"24.780"	"0,675"	"0,49"	"0,78"	"91,94"	"875,14"	"6.904.374,01"	"5.661"	"292"	"0,7838"	"303.423,222"	5.35	"91,34"
"28"	"Atalaia"	"3.906"	"0,660"	"0,46"	"0,78"	"90,71"	"649,55"	"1.405.939,83"	"889"	"61"	"0,8233"	"55.078,143"	5.5	"85,54"
"29"	"Balsa Nova"	"11.422"	"0,579"	"0,44"	"0,66"	"95,45"	"652,54"	"5.913.455,98"	"3.022"	"152"	"0,5977"	"377.392,928"	4.3	"60,80"
"30"	"Bandeirantes"	"32.066"	"0,658"	"0,51"	"0,74"	"90,93"	"679,72"	"10.619.664,16"	"8.809"	"476"	"0,6058"	"330.650,341"	4.55	"88,19"
"31"	"Barbosa Ferraz"	"12.545"	"0,625"	"0,40"	"0,77"	"84,21"	"507,70"	"3.706.446,45"	"3.249"	"158"	"0,6796"	"94.223,467"	4.9	"75,70"
"32"	"Barra do Jacaré"	"2.728"	"0,747"	"0,55"	"0,86"	"88,19"	"543,58"	"1.411.677,00"	"589"	"43"	"0,7625"	"43.829,218"	4.4	"67,88"
"33"	"Barracão"	"9.766"	"0,590"	"0,45"	"0,67"	"91,66"	"688,92"	"3.529.245,86"	"2.879"	"177"	"0,7617"	"115.203,788"	4.75	"71,99"
"34"	"Bela Vista da Caroba"	"3.903"	"0,572"	"0,32"	"0,76"	"85,78"	"507,41"	"1.926.523,04"	"1.033"	"61"	"0,6285"	"42.132,632"	4.95	"26,39"
"35"	"Bela Vista do Paraíso"	"15.083"	"0,604"	"0,44"	"0,70"	"88,07"	"710,14"	"3.751.670,21"	"3.423"	"191"	"0,4768"	"197.809,651"	4.25	"94,14"
"36"	"Bituruna"	"15.892"	"0,556"	"0,38"	"0,66"	"91,93"	"443,43"	"7.677.786,30"	"4.989"	"193"	"0,5287"	"155.974,289"	4.95	"62,34"
"37"	"Boa Esperança"	"4.523"	"0,673"	"0,44"	"0,82"	"86,69"	"575,77"	"1.862.833,81"	"1.167"	"76"	"0,7043"	"96.183,512"	4.85	"57,79"
"38"	"Boa Esperança do Iguaçu"	"2.738"	"0,602"	"0,40"	"0,73"	"91,61"	"527,03"	"1.335.126,75"	"734"	"50"	"0,7963"	"44.408,624"	5.7	"34,48"
"39"	"Boa Ventura de São Roque"	"6.537"	"0,553"	"0,34"	"0,70"	"88,22"	"415,44"	"2.889.185,35"	"1.874"	"92"	"0,5353"	"98.337,599"	4.05	"23,56"
"40"	"Boa Vista da Aparecida"	"7.872"	"0,563"	"0,35"	"0,71"	"84,47"	"510,39"	"3.345.917,05"	"2.004"	"93"	"0,6153"	"60.033,347"	4.65	"61,94"
"41"	"Bocaiúva do Sul"	"11.136"	"0,473"	"0,33"	"0,56"	"90,95"	"547,26"	"5.104.024,80"	"3.035"	"139"	"0,3031"	"110.463,199"	3.85	"46,67"
"42"	"Bom Jesus do Sul"	"3.769"	"0,656"	"0,41"	"0,82"	"89,90"	"430,51"	"2.677.155,12"	"1.157"	"79"	"0,8163"	"33.893,789"	5.1	"24,58"
"43"	"Bom Sucesso"	"6.591"	"0,570"	"0,41"	"0,66"	"86,30"	"592,27"	"3.280.992,96"	"1.639"	"72"	"0,5691"	"62.134,855"	4.3	"81,22"
"44"	"Bom Sucesso do Sul"	"3.286"	"0,695"	"0,43"	"0,88"	"98,14"	"639,33"	"2.824.252,27"	"682"	"39"	"0,7765"	"68.410,602"	5	"48,01"
"45"	"Borrazópolis"	"7.758"	"0,633"	"0,44"	"0,75"	"88,25"	"604,08"	"2.088.656,65"	"1.690"	"95"	"0,6976"	"86.639,999"	4.9	"73,74"
"46"	"Braganey"	"5.700"	"0,627"	"0,42"	"0,76"	"86,73"	"580,75"	"2.410.432,22"	"1.625"	"94"	"0,6963"	"78.663,968"	4.95	"59,58"
"47"	"Brasilândia do Sul"	"3.157"	"0,572"	"0,38"	"0,70"	"84,56"	"550,58"	"1.433.010,07"	"763"	"43"	"0,6577"	"70.739,975"	4.4	"67,93"
"48"	"Cafeara"	"2.712"	"0,602"	"0,43"	"0,71"	"84,42"	"560,67"	"1.655.748,92"	"864"	"50"	"0,6156"	"34.697,377"	3.65	"81,45"
"49"	"Cafelândia"	"14.933"	"0,692"	"0,55"	"0,77"	"95,58"	"721,38"	"5.836.355,36"	"3.714"	"152"	"0,8202"	"483.398,775"	5.55	"84,22"
"50"	"Cafezal do Sul"	"4.263"	"0,611"	"0,37"	"0,77"	"84,68"	"569,82"	"1.904.674,61"	"913"	"62"	"0,6189"	"37.928,002"	4.55	"77,51"
"51"	"Califórnia"	"8.100"	"0,638"	"0,45"	"0,75"	"91,32"	"698,38"	"2.566.674,07"	"2.044"	"129"	"0,7510"	"63.172,577"	4.15	"74,71"
"52"	"Cambará"	"23.974"	"0,645"	"0,52"	"0,71"	"91,41"	"666,89"	"5.036.725,00"	"6.097"	"312"	"0,5588"	"334.471,774"	3.85	"93,63"
"53"	"Cambé"	"97.390"	"0,651"	"0,53"	"0,71"	"93,62"	"723,34"	"24.984.487,00"	"21.037"	"886"	"0,6575"	"1.766.839,799"	4.65	"96,09"
"54"	"Cambira"	"7.279"	"0,651"	"0,47"	"0,75"	"91,10"	"630,19"	"2.884.212,65"	"1.570"	"98"	"0,6777"	"96.147,434"	5.15	"75,66"
"55"	"Campina da Lagoa"	"15.270"	"0,623"	"0,44"	"0,74"	"86,97"	"540,04"	"5.310.551,93"	"4.296"	"181"	"0,6049"	"188.700,552"	4.1	"81,57"
"56"	"Campina do Simão"	"4.054"	"0,527"	"0,28"	"0,71"	"88,07"	"330,48"	"2.325.156,85"	"1.250"	"54"	"0,4152"	"43.473,016"	3	"34,05"
"57"	"Campina Grande do Sul"	"39.092"	"0,605"	"0,52"	"0,64"	"94,02"	"671,29"	"15.766.802,58"	"10.552"	"343"	"0,5095"	"665.119,015"	4.7	"82,44"
"58"	"Campo Bonito"	"4.352"	"0,562"	"0,35"	"0,71"	"86,93"	"585,04"	"3.102.702,85"	"1.202"	"68"	"0,6772"	"76.330,500"	4.9	"58,54"
"59"	"Campo do Tenente"	"7.186"	"0,606"	"0,41"	"0,73"	"90,89"	"488,06"	"5.114.287,10"	"1.822"	"96"	"0,5039"	"107.818,010"	4.25	"58,86"
"60"	"Campo Largo"	"113.882"	"0,664"	"0,52"	"0,74"	"95,52"	"749,21"	"38.639.205,25"	"29.882"	"1.245"	"0,6628"	"1.753.399,745"	5	"83,80"
"61"	"Campo Magro"	"25.184"	"0,607"	"0,47"	"0,68"	"93,83"	"567,04"	"9.408.481,25"	"6.183"	"229"	"0,5599"	"209.892,720"	4.9	"78,68"
"62"	"Campo Mourão"	"87.710"	"0,689"	"0,57"	"0,75"	"92,71"	"843,42"	"27.592.381,28"	"23.859"	"978"	"0,6972"	"1.702.323,334"	4.1	"94,82"
"63"	"Cândido de Abreu"	"16.491"	"0,494"	"0,28"	"0,65"	"83,81"	"438,62"	"6.463.639,49"	"4.454"	"182"	"0,4922"	"136.412,693"	4.8	"28,53"
"64"	"Candói"	"15.045"	"0,503"	"0,32"	"0,62"	"90,69"	"472,40"	"10.078.592,50"	"4.663"	"199"	"0,5151"	"220.622,084"	3.95	"46,89"
"65"	"Cantagalo"	"12.963"	"0,522"	"0,33"	"0,65"	"91,21"	"424,57"	"5.672.057,30"	"3.691"	"160"	"0,5790"	"110.319,451"	4.3	"65,70"
"66"	"Capanema"	"18.549"	"0,611"	"0,41"	"0,74"	"92,67"	"701,11"	"6.762.186,21"	"4.617"	"251"	"0,6928"	"277.316,678"	5.2	"60,19"
"67"	"Capitão Leônidas Marques"	"15.016"	"0,623"	"0,45"	"0,72"	"90,41"	"670,16"	"5.276.476,36"	"3.584"	"162"	"0,6893"	"707.615,370"	5.1	"76,75"
"68"	"Carambeí"	"19.494"	"0,640"	"0,52"	"0,70"	"95,00"	"711,50"	"10.750.747,23"	"5.561"	"274"	"0,6790"	"664.492,733"	4.85	"72,63"
"69"	"Carlópolis"	"13.737"	"0,625"	"0,43"	"0,75"	"91,93"	"608,82"	"4.289.880,19"	"3.121"	"137"	"0,7127"	"188.986,800"	5.7	"68,24"
"70"	"Cascavel"	"289.340"	"0,728"	"0,63"	"0,78"	"95,53"	"1.003,38"	"80.081.483,39"	"73.921"	"2.910"	"0,7196"	"5.317.063,087"	5.05	"94,36"
"71"	"Castro"	"67.353"	"0,600"	"0,46"	"0,68"	"92,37"	"639,54"	"25.905.271,39"	"19.567"	"866"	"0,6941"	"1.113.219,595"	4.95	"73,44"
"72"	"Catanduvas"	"10.186"	"0,573"	"0,36"	"0,71"	"86,40"	"539,43"	"3.687.384,13"	"2.672"	"124"	"0,7172"	"136.831,764"	4.3	"52,36"
"73"	"Centenário do Sul"	"11.142"	"0,549"	"0,36"	"0,67"	"86,44"	"571,32"	"3.053.815,11"	"2.521"	"113"	"0,4541"	"95.751,558"	3.5	"83,41"
"74"	"Cerro Azul"	"16.983"	"0,391"	"0,21"	"0,52"	"82,27"	"342,88"	"5.289.282,79"	"4.267"	"177"	"0,2266"	"143.703,648"	3.6	"28,39"
"75"	"Céu Azul"	"11.078"	"0,659"	"0,46"	"0,78"	"93,75"	"759,41"	"5.696.529,94"	"2.714"	"160"	"0,8318"	"268.220,910"	4.75	"76,02"
"76"	"Chopinzinho"	"19.613"	"0,671"	"0,46"	"0,81"	"91,87"	"802,23"	"10.981.417,19"	"5.416"	"301"	"0,7535"	"255.384,782"	4.5	"63,56"
"77"	"Cianorte"	"70.922"	"0,685"	"0,54"	"0,76"	"94,42"	"837,13"	"20.581.945,04"	"17.045"	"684"	"0,7313"	"1.212.578,938"	5	"89,03"
"78"	"Cidade Gaúcha"	"11.180"	"0,645"	"0,48"	"0,74"	"88,67"	"671,10"	"3.808.990,03"	"3.020"	"128"	"0,6992"	"143.961,265"	4.5	"82,95"
"79"	"Clevelândia"	"17.156"	"0,573"	"0,41"	"0,67"	"88,61"	"696,71"	"6.778.854,54"	"5.153"	"246"	"0,3900"	"185.784,526"	3.6	"85,60"
"80"	"Colombo"	"215.242"	"0,632"	"0,52"	"0,69"	"95,35"	"682,85"	"62.708.129,82"	"54.921"	"2.007"	"0,5618"	"2.360.600,313"	4.25	"95,42"
"81"	"Colorado"	"22.452"	"0,649"	"0,51"	"0,73"	"91,18"	"833,70"	"5.699.344,56"	"5.682"	"261"	"0,6265"	"366.561,022"	4.75	"94,00"
"82"	"Congonhinhas"	"8.312"	"0,562"	"0,33"	"0,72"	"83,09"	"471,57"	"-"	"2.187"	"110"	"0,5892"	"84.455,059"	3.85	"58,39"
"83"	"Conselheiro Mairinck"	"3.650"	"0,650"	"0,46"	"0,76"	"89,89"	"534,50"	"1.489.658,29"	"1.065"	"57"	"0,5269"	"41.669,209"	4.7	"69,17"
"84"	"Contenda"	"16.095"	"0,555"	"0,39"	"0,66"	"94,94"	"612,80"	"5.226.435,75"	"3.695"	"158"	"0,6065"	"161.618,362"	4.35	"58,09"
"85"	"Corbélia"	"16.352"	"0,683"	"0,51"	"0,79"	"92,34"	"743,65"	"6.159.525,12"	"4.277"	"201"	"0,7903"	"294.602,880"	4.9	"85,68"
"86"	"Cornélio Procópio"	"46.934"	"0,692"	"0,59"	"0,74"	"93,28"	"828,19"	"14.368.159,62"	"11.523"	"661"	"0,6515"	"753.182,089"	4.6	"94,42"
"87"	"Coronel Domingos Soares"	"7.256"	"0,447"	"0,30"	"0,54"	"89,80"	"353,16"	"4.326.860,70"	"2.113"	"120"	"0,3408"	"83.953,379"	4.45	"24,22"
"88"	"Coronel Vivida"	"21.630"	"0,653"	"0,47"	"0,76"	"91,81"	"679,98"	"8.156.983,42"	"5.158"	"261"	"0,6250"	"274.169,821"	4.95	"71,01"
"89"	"Corumbataí do Sul"	"3.930"	"0,520"	"0,29"	"0,69"	"80,78"	"409,02"	"1.292.403,65"	"1.022"	"54"	"0,5556"	"39.415,805"	4.45	"53,15"
"90"	"Cruz Machado"	"18.069"	"0,545"	"0,33"	"0,69"	"94,12"	"414,98"	"8.360.043,41"	"5.011"	"206"	"0,5191"	"170.751,395"	4.7	"33,58"
"91"	"Cruzeiro do Iguaçu"	"4.270"	"0,641"	"0,44"	"0,77"	"87,23"	"636,10"	"2.224.510,07"	"1.136"	"79"	"0,7883"	"62.298,266"	5.85	"61,31"
"92"	"Cruzeiro do Oeste"	"20.431"	"0,640"	"0,46"	"0,75"	"87,44"	"617,44"	"7.245.864,38"	"5.014"	"218"	"0,7609"	"283.645,058"	5.3	"86,54"
"93"	"Cruzeiro do Sul"	"4.548"	"0,641"	"0,45"	"0,76"	"87,89"	"558,90"	"1.944.287,74"	"997"	"45"	"0,6467"	"99.053,493"	4.8	"74,60"
"94"	"Cruzmaltina"	"3.140"	"0,593"	"0,40"	"0,71"	"82,86"	"456,21"	"1.835.308,51"	"668"	"54"	"0,5343"	"47.114,465"	4.8	"47,53"
"95"	"Curitiba"	"1.764.541"	"0,768"	"0,74"	"0,78"	"97,87"	"1.581,04"	"572.597.075,04"	"434.966"	"18.352"	"0,7358"	"58.122.788,251"	4.95	"100,00"
"96"	"Curiúva"	"14.002"	"0,546"	"0,32"	"0,70"	"86,40"	"455,24"	"4.216.080,98"	"3.544"	"141"	"0,4005"	"119.048,486"	4.3	"68,76"
"97"	"Diamante D'Oeste"	"5.039"	"0,532"	"0,33"	"0,67"	"83,23"	"447,57"	"2.229.977,11"	"1.324"	"71"	"0,5021"	"51.252,886"	4.8	"50,94"
"98"	"Diamante do Norte"	"5.472"	"0,657"	"0,45"	"0,78"	"88,85"	"619,39"	"2.077.565,18"	"1.589"	"83"	"0,7684"	"158.638,980"	4.5	"82,51"
"99"	"Diamante do Sul"	"3.499"	"0,479"	"0,26"	"0,64"	"80,88"	"344,73"	"1.792.175,96"	"1.099"	"47"	"0,4435"	"26.112,753"	3.9	"40,03"
"100"	"Dois Vizinhos"	"36.501"	"0,711"	"0,56"	"0,80"	"93,41"	"836,10"	"11.019.392,37"	"9.419"	"454"	"0,7708"	"682.627,285"	5.65	"77,66"
"101"	"Douradina"	"7.544"	"0,644"	"0,48"	"0,74"	"90,46"	"708,51"	"2.575.796,48"	"1.963"	"91"	"0,7141"	"293.942,906"	4.9	"70,33"
"102"	"Doutor Camargo"	"5.832"	"0,702"	"0,48"	"0,84"	"91,22"	"639,19"	"1.758.679,75"	"1.167"	"73"	"0,8721"	"70.643,977"	5.65	"87,66"
"103"	"Doutor Ulysses"	"5.706"	"0,362"	"0,21"	"0,47"	"82,66"	"277,33"	"2.824.250,70"	"1.684"	"71"	"0,2964"	"62.929,754"	3.75	"16,22"
"104"	"Enéas Marques"	"6.082"	"0,664"	"0,43"	"0,81"	"91,23"	"948,70"	"2.743.990,26"	"1.567"	"77"	"0,7877"	"104.815,847"	5.4	"34,84"
"105"	"Engenheiro Beltrão"	"13.893"	"0,677"	"0,50"	"0,78"	"90,28"	"629,05"	"5.117.473,47"	"3.687"	"182"	"0,7913"	"210.957,072"	5.05	"88,29"
"106"	"Entre Rios do Oeste"	"3.972"	"0,686"	"0,48"	"0,81"	"96,81"	"1.013,75"	"2.817.580,78"	"960"	"67"	"0,8639"	"82.184,215"	5.35	"67,29"
"107"	"Esperança Nova"	"1.945"	"0,594"	"0,37"	"0,74"	"88,54"	"584,46"	"1.136.001,40"	"441"	"24"	"0,7783"	"19.059,043"	4.45	"38,17"
"108"	"Espigão Alto do Iguaçu"	"4.623"	"0,521"	"0,31"	"0,66"	"85,95"	"409,12"	"3.332.704,25"	"1.323"	"93"	"0,5026"	"50.146,196"	4.5	"35,19"
"109"	"Farol"	"3.435"	"0,665"	"0,42"	"0,83"	"85,13"	"521,09"	"2.220.985,61"	"967"	"58"	"0,7815"	"63.426,136"	4.65	"58,12"
"110"	"Faxinal"	"16.369"	"0,584"	"0,44"	"0,67"	"86,61"	"612,79"	"5.258.275,99"	"4.505"	"240"	"0,6185"	"200.521,320"	4.35	"78,09"
"111"	"Fazenda Rio Grande"	"83.118"	"0,617"	"0,50"	"0,68"	"95,53"	"677,31"	"21.843.719,82"	"23.923"	"942"	"0,4962"	"706.289,185"	4.45	"92,96"
"112"	"Fênix"	"4.792"	"0,665"	"0,46"	"0,79"	"86,69"	"514,41"	"1.847.588,16"	"1.357"	"89"	"0,6276"	"60.155,657"	4.35	"83,19"
"113"	"Fernandes Pinheiro"	"5.899"	"0,525"	"0,32"	"0,66"	"90,08"	"446,98"	"4.508.300,51"	"1.752"	"86"	"0,6374"	"66.651,445"	4.55	"35,30"
"114"	"Figueira"	"8.236"	"0,569"	"0,38"	"0,69"	"85,90"	"551,93"	"2.473.845,21"	"2.145"	"93"	"0,5480"	"77.146,972"	4.65	"85,51"
"115"	"Flor da Serra do Sul"	"4.711"	"0,560"	"0,34"	"0,71"	"88,92"	"549,70"	"3.097.498,81"	"1.290"	"66"	"0,7605"	"61.701,677"	5.8	"34,79"
"116"	"Floraí"	"5.032"	"0,656"	"0,44"	"0,79"	"91,82"	"792,48"	"1.794.116,93"	"927"	"56"	"0,7842"	"113.416,945"	5.55	"88,55"
"117"	"Floresta"	"5.994"	"0,691"	"0,53"	"0,78"	"92,93"	"649,71"	"2.571.338,76"	"1.426"	"65"	"0,6704"	"73.708,771"	4.95	"92,23"
"118"	"Florestópolis"	"11.148"	"0,625"	"0,42"	"0,76"	"87,06"	"555,82"	"3.840.990,50"	"2.821"	"134"	"0,5330"	"106.854,724"	4.15	"93,96"
"119"	"Flórida"	"2.552"	"0,679"	"0,46"	"0,82"	"90,89"	"652,52"	"1.238.819,97"	"620"	"34"	"0,8265"	"25.906,888"	5	"91,31"
"120"	"Formosa do Oeste"	"7.448"	"0,652"	"0,46"	"0,77"	"89,69"	"593,44"	"2.355.830,48"	"1.533"	"100"	"0,6779"	"105.263,001"	4.75	"65,91"
"121"	"Foz do Iguaçu"	"255.900"	"0,661"	"0,59"	"0,69"	"94,36"	"842,26"	"97.656.162,53"	"71.104"	"2.542"	"0,6539"	"6.245.512,837"	5.4	"99,17"
"122"	"Foz do Jordão"	"5.347"	"0,496"	"0,31"	"0,62"	"89,23"	"467,65"	"2.397.581,17"	"1.534"	"62"	"0,3849"	"49.247,004"	3.9	"72,45"
"123"	"Francisco Alves"	"6.377"	"0,570"	"0,36"	"0,71"	"84,22"	"512,87"	"2.332.686,29"	"1.527"	"87"	"0,5588"	"75.417,130"	4.85	"65,97"
"124"	"Francisco Beltrão"	"79.850"	"0,726"	"0,60"	"0,79"	"94,32"	"895,36"	"25.330.073,47"	"20.836"	"1.044"	"0,7784"	"1.299.819,941"	5.35	"85,44"
"125"	"General Carneiro"	"13.652"	"0,532"	"0,37"	"0,63"	"90,13"	"423,27"	"5.202.055,74"	"3.948"	"154"	"0,5555"	"233.624,289"	4.35	"70,01"
"126"	"Godoy Moreira"	"3.299"	"0,578"	"0,29"	"0,80"	"84,62"	"434,45"	"1.641.260,78"	"822"	"49"	"0,6087"	"25.300,896"	4.1	"46,36"
"127"	"Goioerê"	"28.962"	"0,639"	"0,49"	"0,72"	"89,36"	"707,58"	"-"	"8.604"	"332"	"0,6589"	"391.231,550"	4.85	"86,99"
"128"	"Goioxim"	"7.459"	"0,547"	"0,32"	"0,71"	"87,20"	"320,16"	"3.203.927,76"	"2.192"	"100"	"0,2857"	"68.346,041"	3.95	"23,40"
"129"	"Grandes Rios"	"6.530"	"0,550"	"0,35"	"0,68"	"82,07"	"455,19"	"2.080.707,04"	"1.750"	"93"	"0,4860"	"60.289,224"	4.15	"53,74"
"130"	"Guaíra"	"30.861"	"0,615"	"0,48"	"0,69"	"90,50"	"795,84"	"11.762.154,00"	"8.140"	"322"	"0,5353"	"391.298,721"	4.65	"91,86"
"131"	"Guairaçá"	"6.220"	"0,574"	"0,38"	"0,70"	"85,92"	"614,06"	"2.182.115,94"	"1.508"	"59"	"0,6296"	"79.132,372"	4.4	"80,02"
"132"	"Guamiranga"	"7.959"	"0,568"	"0,31"	"0,76"	"92,65"	"478,34"	"3.093.606,34"	"2.132"	"99"	"0,6405"	"120.242,049"	5.1	"28,30"
"133"	"Guapirama"	"3.878"	"0,645"	"0,45"	"0,77"	"87,46"	"505,91"	"1.541.239,25"	"1.002"	"55"	"0,6797"	"48.320,785"	4.5	"74,53"
"134"	"Guaporema"	"2.225"	"0,671"	"0,48"	"0,79"	"87,81"	"572,72"	"1.577.190,17"	"528"	"42"	"0,7842"	"30.158,712"	4.75	"57,73"
"135"	"Guaraci"	"5.159"	"0,598"	"0,41"	"0,72"	"88,80"	"595,93"	"1.738.648,83"	"1.326"	"65"	"0,6082"	"47.887,504"	4.85	"80,35"
"136"	"Guaraniaçu"	"14.381"	"0,528"	"0,34"	"0,65"	"89,26"	"614,94"	"4.877.724,52"	"4.186"	"214"	"0,6832"	"177.251,822"	5	"53,52"
"137"	"Guarapuava"	"168.349"	"0,628"	"0,51"	"0,69"	"94,00"	"750,09"	"46.659.505,99"	"45.732"	"1.827"	"0,5952"	"2.507.593,180"	4.65	"91,43"
"138"	"Guaraqueçaba"	"7.839"	"0,434"	"0,31"	"0,51"	"85,29"	"307,80"	"2.775.882,53"	"2.280"	"115"	"0,1715"	"58.542,483"	3.75	"34,09"
"139"	"Guaratuba"	"32.467"	"0,604"	"0,51"	"0,65"	"94,60"	"782,92"	"13.966.337,48"	"9.251"	"414"	"0,4625"	"341.184,358"	4.3	"89,75"
"140"	"Honório Serpa"	"5.883"	"0,612"	"0,36"	"0,78"	"90,61"	"443,83"	"2.962.897,79"	"1.723"	"74"	"0,5698"	"90.419,364"	4.05	"33,38"
"141"	"Ibaiti"	"28.928"	"0,596"	"0,42"	"0,71"	"88,41"	"787,74"	"9.087.251,16"	"8.493"	"384"	"0,6067"	"315.948,926"	4.5	"80,40"
"142"	"Ibema"	"6.081"	"0,615"	"0,41"	"0,74"	"88,08"	"499,24"	"4.917.432,23"	"1.766"	"79"	"0,7066"	"69.924,954"	4.7	"81,45"
"143"	"Ibiporã"	"48.662"	"0,647"	"0,52"	"0,71"	"92,56"	"706,25"	"15.558.058,64"	"12.004"	"601"	"0,6262"	"1.161.945,825"	4.5	"95,22"
"144"	"Icaraíma"	"8.747"	"0,554"	"0,38"	"0,66"	"88,02"	"525,92"	"2.565.672,88"	"2.203"	"108"	"0,6182"	"95.828,702"	4.05	"70,60"
